ScoreA	ScoreD
43.5014	0.801451
60.2509	0.782144
67.3574	0.788423
61.2848	0.783600
42.9953	0.781458
46.6351	0.610603
45.4776	0.607280
43.0422	0.607752
38.5426	0.538434
29.0167	0.536701
69.2392	0.785419
65.7653	0.786215
55.0551	0.786454
54.7645	0.786061
54.3816	0.787993
72.7619	0.662166
58.2178	0.587457
57.2482	0.519155
41.6397	0.377950
26.0441	0.275499
64.9327	0.663987
60.4689	0.587860
52.831	0.495885
41.0753	0.381437
30.9627	0.274127
67.7049	0.683116
56.8015	0.575137
48.2367	0.493067
44.2049	0.382581
28.1182	0.273921
48.9121	0.791107
46.6959	0.793002
35.1741	0.784047
29.4951	0.792030
29.6387	0.796255
55.013	0.362009
45.3053	0.292252
36.819	0.243756
27.9603	0.119452
27.2514	0.082156
69.9225	0.795252
66.1295	0.800504
64.7137	0.802306
58.9596	0.802070
48.5249	0.798016
69.5153	0.806054
65.3454	0.810388
56.0451	0.809711
49.3942	0.806542
40.0426	0.799670
36.6987	0.735910
62.5454	0.741171
71.0592	0.762107
68.2664	0.760470
38.6759	0.774386
51.6537	0.522640
43.9073	0.520427
54.5465	0.528610
39.9778	0.501258
38.3297	0.456157
72.5413	0.742359
67.3851	0.744484
56.6149	0.745119
51.5898	0.745962
43.0368	0.749736
65.0097	0.600728
60.2217	0.474023
46.4015	0.345485
34.6216	0.309346
32.1432	0.200591
66.9504	0.617119
54.1716	0.470782
41.601	0.341176
39.0277	0.311831
20.1179	0.203238
69.5044	0.651620
59.8825	0.473862
47.6661	0.389194
38.3871	0.270247
27.2616	0.197349
64.4571	0.758865
57.6063	0.760845
41.1246	0.756711
35.8412	0.760184
29.2769	0.726554
53.0826	0.314571
42.5681	0.204553
36.7846	0.152611
30.4086	0.053246
28.115	0.036153
67.4361	0.736639
65.8458	0.731942
65.0627	0.725535
60.0072	0.719114
56.4932	0.709484
67.3869	0.739029
68.8709	0.728913
66.2254	0.720788
53.863	0.700361
43.7796	0.678158
40.483	0.748945
55.4338	0.707995
69.6464	0.686386
61.1231	0.699371
73.6617	0.682307
61.7647	0.682808
60.4122	0.680895
59.6479	0.681139
53.0254	0.681852
43.2973	0.653417
73.2917	0.687639
62.9381	0.687624
63.999	0.687437
53.1912	0.687674
46.5986	0.687698
69.421	0.644012
70.7566	0.347875
62.9493	0.291372
58.4169	0.253209
40.3241	0.234996
68.1346	0.714045
68.9358	0.616473
60.985	0.519895
61.4348	0.340408
43.9158	0.300914
71.9425	0.643559
62.2314	0.343734
64.7572	0.247962
53.7028	0.195393
43.4893	0.219153
54.3801	0.682571
53.0702	0.719510
40.6993	0.715727
38.8693	0.683638
27.5103	0.692216
65.4576	0.338602
54.2347	0.262945
45.221	0.196113
33.0629	0.054592
25.8386	0.034303
